Cultivar,Samle_Number,T=1,T=3,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29,T=31,T=33,T=35,T=37,T=39,T=41,T=43,T=45,T=47,T=49,T=51,T=53,T=55,T=57,T=59,T=61,T=63,T=65,T=67,T=69,T=73,T=75,T=77,T=79,T=81,T=85,T=89,T=91,T=93,T=95,T=97,T=99,T=101,T=103,T=105,T=107,T=109,T=111,T=113,T=115,T=117,T=119,T=121,T=123,T=125,T=127
Sobi,4 ,105.7202189,103.7556095,107.2369921,103.8894427,108.3665345,104.3888261,98.70152805,97.73115348,102.8937593,103.2116217,106.3536668,105.5561741,103.2974975,102.2007284,98.48733013,100.3627693,101.6787315,101.334744,96.687102,99.64165526,96.83535651,96.82002274,95.7351727,95.97785108,97.23504696,101.8684999,99.87612311,98.08942278,100.2197229,100.6366066,103.3262324,106.1827393,102.5829189,100.3286801,98.92693063,102.3163523,107.144252,108.3764261,108.9207269,113.5896646,116.3455977,128.6932828,130.2388161,130.5464506,136.9123027,137.0222191,142.4832979,148.2390227,159.4911003,153.6689449,162.2071301,162.4628485,167.0565322,170.5709152,173.5479819,179.7707715,176.4596598,177.5285306,180.171476,184.0639896,186.5413858
Saegyehwa,1 ,110.609257,106.8181888,111.7646546,108.3246625,107.6382031,112.4751457,106.9361414,108.7548474,99.5051224,106.3297984,100.1944947,102.0334066,99.85153979,96.56693972,97.18198783,95.49770301,93.43998365,92.04264513,93.50232479,93.55661134,92.84064851,91.09961319,93.9421,94.64902719,94.82959005,90.11965202,97.93683916,100.7204384,99.3364893,97.24157241,103.1139291,102.7552864,103.8175145,102.0261193,100.3099092,101.2636947,106.5537716,103.5225532,105.612729,110.5438414,114.1443146,120.3963333,124.3114138,120.5221463,126.3799343,124.5676016,128.8462677,128.3843157,129.8318954,135.4144312,138.5804637,141.8540153,146.9261462,146.4771164,151.7857959,156.5597769,154.0300977,158.8779802,162.4063111,164.2309459,167.2318223
Saegyehwa,2 ,98.04768805,100.6896107,102.6372132,104.8326689,99.64915181,100.8781225,99.8506086,101.4713525,99.81991747,103.9630086,99.75433386,99.27572984,101.0101903,95.31515103,95.83106595,96.49554389,95.99449195,97.54724546,92.47639296,93.6813294,91.75785885,90.94498113,91.43077207,93.06525798,90.5728714,90.14544438,90.82571898,90.70759142,90.75732254,93.0568261,94.71604396,94.9306317,93.05875894,92.50010924,90.1810986,92.78502762,93.99160525,94.54570637,96.34315327,95.83809809,98.93311648,102.0618825,107.9719573,107.0923276,110.2546208,109.9055492,110.2789649,113.425707,119.6605221,117.7369771,117.3672713,117.2990238,123.823507,121.8266932,127.3564937,130.6175164,126.8750627,130.2244396,133.2545485,132.257985,138.6227478
Saegyehwa,3 ,100.6307304,99.453765,106.8293822,105.1591505,102.3222467,107.3885348,102.4340026,103.2831773,99.31848426,101.1317369,103.5115039,97.51089873,98.04431469,95.06446878,94.10256703,94.69437481,91.01564516,93.75752211,92.14034225,93.74805865,92.07240291,93.4687758,93.33956769,94.41076991,92.98978387,92.18906962,97.47534798,97.67104733,97.96196918,97.1016876,102.2384968,104.4417746,103.3401297,102.4697495,104.9387637,103.6080316,104.3057781,105.5018421,103.7599507,109.1830671,111.0265537,117.1307599,121.5758856,122.4132963,129.4356319,129.6967762,138.0940586,141.2674204,151.5235219,153.9172613,159.7222389,165.0622915,175.639649,178.3478277,181.0445927,192.2027224,186.3476983,183.6174089,185.656104,187.4445652,189.2125797
Saegyehwa,4 ,106.3189816,101.886032,107.550803,108.9175904,116.3416105,107.7922507,103.2647969,102.5507166,104.6617536,103.2516745,104.030253,102.1093028,100.171723,95.83845768,92.4669708,94.08343948,97.62445509,94.59552347,91.81978876,93.79759961,92.13155483,91.28792446,91.74361755,92.66621794,93.24364888,96.37136554,94.03041342,92.54637327,92.97976459,92.09727424,93.18666427,96.55836265,93.5745566,95.41713675,93.7523876,94.39147071,99.91878076,99.73436448,100.1247031,103.7077861,103.9830081,110.3069847,111.4118416,110.987294,116.2342195,116.9414166,121.9412916,124.738675,133.5814121,129.5191538,137.6997999,136.2767828,146.3280105,152.5915824,157.2242998,165.9743973,166.1738002,166.8754081,168.5601161,173.4818191,175.6608797
Youngan,1 ,109.8337018,106.6906937,116.324915,111.5203478,109.4181912,110.6574439,108.1397389,105.642097,100.9165443,107.4617771,105.8189915,105.6898459,102.2156961,102.964247,100.2683595,99.53973127,97.42611593,97.43907941,97.36455934,97.62182509,97.8096057,97.08598443,98.93003638,102.5482932,102.3842131,97.79963241,105.9827367,108.8902812,106.9614814,106.137021,110.5171784,108.1143352,107.7247253,106.2681873,104.4246706,103.7325752,108.7507977,107.4224809,110.1315289,116.8103985,119.4263752,128.2871252,132.4172522,131.529065,138.7246795,138.2304563,142.5356704,146.2852315,147.7657624,156.0825308,159.1872153,165.241533,170.6723676,169.8556691,173.7014424,177.5693161,174.6503383,177.4004494,180.5031273,180.0334969,181.1632041
Youngan,2 ,104.5766309,106.4753744,107.088946,105.280147,105.461475,105.678421,106.4045969,104.8530723,102.0306648,108.9781138,105.3915084,105.6566828,103.0929839,97.28578266,96.05108753,95.43708005,95.4457366,98.03043405,94.56721159,96.19227765,94.91545454,96.23341451,95.04405923,95.20419878,94.03555566,94.54465579,94.87333449,96.43977257,96.49323589,99.67509368,102.4942999,102.2368801,100.5475251,98.72702507,97.22790802,98.99793654,100.716598,101.4667937,104.3234618,105.7439764,111.3867368,114.7645202,121.5191947,119.9085621,124.4113815,124.266048,125.8398583,128.3684118,137.9704049,136.1667455,136.2854639,138.3242479,146.8261324,146.2150386,151.2092775,156.8473453,151.3541372,155.0339132,158.745765,158.7886483,162.8215468
Youngan,3 ,101.5817303,104.2688837,110.0970747,112.4345841,107.8398524,107.693488,105.0355368,105.7683555,105.2078616,105.4154257,107.5840224,101.9558407,100.9823319,96.80481666,94.92862274,99.35181154,96.03864351,95.87247538,92.80202459,96.86370858,93.46494261,92.55547073,94.50207414,97.59347252,97.77168155,97.47073403,101.2770657,101.4447684,103.2037716,103.2516842,107.260968,108.9025383,108.2137651,108.6424806,111.2843616,111.6843591,113.8651541,115.8659639,113.1451723,116.4152897,118.1728288,124.9701231,131.2645372,130.9358347,137.6661892,137.3796102,147.1848379,150.1374596,161.7901194,161.6987492,166.3088105,172.2530369,176.5485897,178.7154005,179.9076005,187.4482789,181.0128657,178.8067264,181.6503422,183.9902964,187.0173389
Youngan,4 ,104.6003482,102.1941763,105.8952464,107.4386987,110.5483735,107.0022572,104.9744549,99.71968006,105.5690109,106.8059418,106.140307,104.1989105,101.4517762,97.35160229,96.38420703,96.37556592,99.71065828,95.53893718,94.56041419,97.82424817,95.49179978,96.18302745,94.48847384,95.99243649,96.81273006,100.3536263,98.63602025,97.48740443,97.26708125,98.25703975,100.730913,104.500171,101.6363055,101.3629159,99.47083965,99.65397014,104.7666627,105.6808607,106.51512,109.8839199,112.3257451,122.2132463,123.1073939,122.5423218,128.4341259,128.6571349,134.3790083,136.4390336,147.6962012,143.0807066,152.1869842,151.3341804,156.589726,161.9412832,166.1908443,173.1548541,170.26778,171.330948,172.6730796,175.8866107,177.6512836
Daepyeong,1 ,112.8907943,109.9624888,110.000583,108.4462405,106.991006,106.971986,104.9746973,101.60541,100.7374079,105.9522866,102.6979037,103.752246,102.5374477,100.1992853,99.44532391,99.61142123,97.98414243,97.48242334,97.97947815,99.53995723,99.53620591,99.59620082,102.1989086,103.5919922,103.7641828,98.63898201,107.1551877,108.9025509,108.006655,107.1462115,111.7227941,110.6063177,110.2373017,108.2302244,103.8244434,104.5327839,108.8428582,107.237962,107.7407888,111.3532589,114.196662,122.7572769,130.066526,129.8930041,139.7013436,142.537897,150.5983338,154.9827708,154.4663267,163.1855897,166.3498339,171.4370794,173.6405663,174.6067271,181.2896551,183.9674827,181.8124342,184.1338882,188.3774565,185.5614005,190.3852924
